#Step TotalEnergy Pressure AcceptanceRatio Temperature LongRangeCorrection Density
3510000 -3098.22 2.49097 0.436312 0.85 -139.599 0.900232
3520000 -3093.77 2.55331 0.436314 0.85 -139.599 0.900232
3530000 -3073.83 2.69987 0.436312 0.85 -139.599 0.900232
3540000 -3118.14 2.23055 0.436283 0.85 -139.599 0.900232
3550000 -3122.33 2.28569 0.436292 0.85 -139.599 0.900232
3560000 -3105.43 2.4792 0.436263 0.85 -139.599 0.900232
3570000 -3084.21 2.65541 0.436251 0.85 -139.599 0.900232
3580000 -3086.24 2.63586 0.436238 0.85 -139.599 0.900232
3590000 -3097.33 2.43783 0.436219 0.85 -139.599 0.900232
3600000 -3125.94 2.19862 0.43622 0.85 -139.599 0.900232
3610000 -3070.83 2.68615 0.436213 0.85 -139.599 0.900232
3620000 -3080.28 2.60743 0.436228 0.85 -139.599 0.900232
3630000 -3113.33 2.23829 0.436249 0.85 -139.599 0.900232
3640000 -3109.56 2.28066 0.436254 0.85 -139.599 0.900232
3650000 -3136.42 2.09052 0.43627 0.85 -139.599 0.900232
3660000 -3139.83 2.05621 0.436252 0.85 -139.599 0.900232
3670000 -3088.88 2.54368 0.436251 0.85 -139.599 0.900232
3680000 -3120.86 2.1597 0.43627 0.85 -139.599 0.900232
3690000 -3137.23 2.06702 0.436274 0.85 -139.599 0.900232
3700000 -3100.53 2.46709 0.436255 0.85 -139.599 0.900232
3710000 -3121.08 2.25066 0.43627 0.85 -139.599 0.900232
3720000 -3112.51 2.32675 0.436278 0.85 -139.599 0.900232
3730000 -3124.24 2.20669 0.436294 0.85 -139.599 0.900232
3740000 -3106.61 2.41446 0.436327 0.85 -139.599 0.900232
3750000 -3129.84 2.21909 0.436347 0.85 -139.599 0.900232
3760000 -3103.2 2.38466 0.436363 0.85 -139.599 0.900232
3770000 -3090.73 2.4837 0.436386 0.85 -139.599 0.900232
3780000 -3116.15 2.33557 0.436403 0.85 -139.599 0.900232
3790000 -3112.16 2.28668 0.436389 0.85 -139.599 0.900232
3800000 -3128.51 2.19726 0.43638 0.85 -139.599 0.900232
3810000 -3124.43 2.23934 0.436369 0.85 -139.599 0.900232
3820000 -3116.7 2.24696 0.43639 0.85 -139.599 0.900232
3830000 -3118.01 2.21889 0.436388 0.85 -139.599 0.900232
3840000 -3121.11 2.26755 0.436397 0.85 -139.599 0.900232
3850000 -3127.44 2.15438 0.436382 0.85 -139.599 0.900232
3860000 -3122.45 2.24146 0.436392 0.85 -139.599 0.900232
3870000 -3152.23 1.91691 0.436386 0.85 -139.599 0.900232
3880000 -3146.04 1.94773 0.436395 0.85 -139.599 0.900232
3890000 -3115.38 2.17981 0.436412 0.85 -139.599 0.900232
3900000 -3121.66 2.23703 0.436413 0.85 -139.599 0.900232
3910000 -3131.99 2.1029 0.436432 0.85 -139.599 0.900232
3920000 -3101.13 2.37356 0.436432 0.85 -139.599 0.900232
3930000 -3076.19 2.59993 0.436431 0.85 -139.599 0.900232
3940000 -3095.26 2.48036 0.436439 0.85 -139.599 0.900232
3950000 -3113.74 2.25136 0.436448 0.85 -139.599 0.900232
3960000 -3065.53 2.69834 0.436459 0.85 -139.599 0.900232
3970000 -3095.24 2.49659 0.436465 0.85 -139.599 0.900232
3980000 -3115.91 2.32877 0.436479 0.85 -139.599 0.900232
3990000 -3130.06 2.07059 0.436489 0.85 -139.599 0.900232
4000000 -3121.42 2.17699 0.436482 0.85 -139.599 0.900232
4010000 -3119.42 2.21104 0.436514 0.85 -139.599 0.900232
4020000 -3121.27 2.18322 0.436527 0.85 -139.599 0.900232
4030000 -3104.19 2.31235 0.436552 0.85 -139.599 0.900232
4040000 -3127.41 2.12365 0.436571 0.85 -139.599 0.900232
4050000 -3123.94 2.09561 0.436564 0.85 -139.599 0.900232
